bytes_in,bytes_out,total_bytes,packets_in,packets_out,total_packets,avg_packet_size,outbound_inbound_ratio,packet_rate,byte_rate,unique_destination_ips,destination_port_count,window_packets_out,window_bytes_out,avg_duration,is_common_dst_port,is_privileged_src_port,connection_count,duration,protocol_ICMP,protocol_TCP,protocol_UDP,label,label_encoded,timestamp
307,1166,1473,17,11,28,52.607140978316394,3.7980455902343793,6.3685530051242845,335.0313777338597,1,1,11,1166,4.396602118082012,1,0,1,4.396602118082012,False,True,False,BENIGN,0,2026-01-29 00:00:00
2140,16505,18645,23,17,40,466.12498834687534,7.712616818825881,48.27488544911166,22502.130979967173,1,1,17,16505,0.828587190896185,1,0,1,0.828587190896185,False,True,False,BENIGN,0,2026-01-29 00:00:10
53,47,100,19,16,35,2.857142775510207,0.886792436098256,7.071332217465017,20.20380633561433,1,1,16,47,4.949561391306664,1,0,1,4.949561391306664,False,False,True,BENIGN,0,2026-01-29 00:00:20
214,647,861,31,23,54,15.944444149176961,3.023364471853437,113.63928230105391,1811.915223355693,1,1,23,647,0.47518679515821705,1,0,1,0.47518679515821705,False,True,False,BENIGN,0,2026-01-29 00:00:30
961,13127,14088,19,16,35,402.5142742138779,13.659729434277077,45.07515011629113,18143.391852523127,1,1,16,13127,0.7764800524136279,1,0,1,0.7764800524136279,False,True,False,BENIGN,0,2026-01-29 00:00:40
46093,216,46309,27,21,48,964.7708132339415,0.004686177944488617,55.40422560536933,53452.38090748017,1,1,21,216,0.8663589116408953,1,0,1,0.8663589116408953,False,True,False,BENIGN,0,2026-01-29 00:00:50
6576,305,6881,22,26,48,143.3541636801216,0.046380778581754746,9.784889010256162,1402.704609991097,1,1,26,305,4.905522194968094,1,0,1,4.905522194968094,False,True,False,BENIGN,0,2026-01-29 00:01:00
2596,1014,3610,24,21,45,80.22222043950622,0.390600924348767,7.809351308211634,626.4835160587555,1,1,21,1014,5.762321403485923,1,0,1,5.762321403485923,True,False,False,BENIGN,0,2026-01-29 00:01:10
492,1559,2051,30,19,49,41.857142002915474,3.1686991805514246,907.5815948392788,37988.77246970124,1,1,19,1559,0.053988636059860026,1,0,1,0.053988636059860026,False,True,False,BENIGN,0,2026-01-29 00:01:20
1057,3292,4349,17,25,42,103.54761658219961,3.114474926097942,4.781066690490371,495.06807230815764,1,1,25,3292,8.784649522348658,1,0,1,8.784649522348658,False,True,False,BENIGN,0,2026-01-29 00:01:30
12483,501,12984,23,14,37,350.9189094346241,0.04013458302970964,4.600180778202476,1614.290465518404,1,1,14,501,8.043161167739369,1,0,1,8.043161167739369,False,True,False,BENIGN,0,2026-01-29 00:01:40
42255,82,42337,20,22,42,1008.0237855232433,0.001940598745664641,34.32333600355162,34598.73991386583,1,1,22,82,1.2236562807390878,1,0,1,1.2236562807390878,False,True,False,BENIGN,0,2026-01-29 00:01:50
678,1238,1916,23,20,43,44.55813849864794,1.8259586993717423,91.85501763062348,4092.8886925645247,1,1,20,1238,0.4681280266898198,1,0,1,0.4681280266898198,False,True,False,BENIGN,0,2026-01-29 00:02:00
